x,y,f,m
3.234375,6443.2695714110475340897045250116208,19.786664495815888831461984491251946,29
3.25,7091.4227015903464301019436517713106,19.991275861259853524832222165386911,29
3.265625,7808.8657808078147983956135144601724,20.196817472070903337298876064310088,29
3.28125,8603.3940333033693186981700931864251,20.403290524677617639010706779506723,30
3.296875,9483.719580979044967201459377672381,20.610696203457853640436653605619534,30
3.3125,10459.583661419777464693033541463251,20.81903567860706628340336272773126,30
3.328125,11541.883083416192496100388360569153,21.02831010424978260235692987505943,30
3.34375,12742.812786927032495173144534696373,21.238520616779057575730394382689741,31
3.359375,14076.026626809029036497287628393471,21.449668333409125263104821107381839,30
3.375,15556.818787135894634214389451525891,21.661754350926886877623537420133365,30
3.390625,17202.32856053975233191958629197063,21.874779744628339622202677474206129,30
3.40625,19031.771600486205378153666004344452,22.088745567426540349966757857463915,31
3.421875,21066.70118033133903625691188223642,22.303652849118210595483522764515897,31
3.4375,23331.303478969743622997693063458609,22.519502595796618929879216566839581,31
3.453125,25852.731467549757738327672505012527,22.73629578939891803852672646292061,31
3.46875,28661.482605075442944060786832122396,22.954033387376662961853693144772466,31
3.484375,31791.826274186843398901813760334556,23.172716322478789557360334931227163,31
3.5,35282.287715171685310157997216412428,23.392345502636884818345831924637953,31
3.515625,39176.196161442738761810694343322246,23.612921810943129992306885018671006,31
3.53125,43522.305960716052583175653173633704,23.834446105711840616115926580208518,31
3.546875,48375.500702965827324395186183018825,24.056919220616062108804298116601399,31
3.5625,53797.591791954009257009085657782174,24.280341964891203244723148493016605,31
3.578125,59858.224518268358714333708887729047,24.50471512359820078380052135800395,32
3.59375,66635.906548913271727983667029528212,24.730039457939205159839614688577011,32
3.609375,74219.175876800505060339470250910187,24.95631570561925808471778995374419,32
3.625,82707.927713581097495281581703041201,25.183544581247897122441213325880668,32
3.640625,92214.92260796647877898698966221487,25.411726776775068853293417085900097,32
3.65625,102867.50128302480945366317223496491,25.640862961956160521308330141138955,32
