x=1, n=16, |dx| = 0.5
i,p_i,q_i
5,3.8871502100757079675446836785933762557767666436099122986028118729e-4,2.3976330156641467687006013641047489473974003892567890061636801364e-6
6,4.7952660313385344361354719538934552958621764028256389393053984380e-6,5.4149219235562464082195317363695767681982440443226055543894982363e-20
relative error = 1.3892532393e-31

x=15, n=6, |dx| = 0.5
i,p_i,q_i
0,2.9933033689539679896796885945975842924733854529297279777564255981e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.2500644524413925350364027272458480018075556852476458167455517415e1,3.5065405685922653112763036772296729191148206577686895053198969672e-1
2,2.1697470178242446400596548784184317193536663674590324154812641793e0,4.9014867902123106778019262955122462106539604402338483864951907184e-2
3,2.0035453778605571449239596854793283314787269134475762121473012218e-1,3.4139566505218411726805066562896382790949988403166395765957880309e-3
4,1.0380892799340294812495269423538758561138095118405080779564748042e-2,1.1848729385454356822089016778156616897942190025064950350718881587e-4
5,2.8615410804526585817417915630729606720287773131190945012695375194e-4,1.6393173445434537539204532934253859645754134550746285847780634351e-6
6,3.2786346890897903034509762012963195073987088725262903692604252259e-6,1.4156833298565537344507821336685720829105185584644178875896371268e-20
relative error = 2.0654025179e-32

x=16, n=6, |dx| = 0.5
i,p_i,q_i
0,3.1937253440073276792156366638123575826533028757343120295456289311e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.2434366985863341627315490049819800526483834390283899887387659342e1,3.2659083282043508480472954142458867319358182002147216410759461108e-1
2,2.0127643455547685693609023078285805963539849109656994779697387636e0,4.2537838914713778750628859360096829626823296218698771524393320811e-2
3,1.7338900150773983490699590780284364024867217195323157817967535907e-1,2.7620081558301811463065374725176494768243878800890276120016904831e-3
4,8.3837726980121426334454117889843530160338918562812671938694792115e-3,8.9403453764007785941689774116944503336964598907592811597620944922e-5
5,2.1573919867007665959973244980333594529605741168818447968410677985e-4,1.1541340981907033649236263464807542695389524766530450020563120484e-6
6,2.3082681963822986842459781335994120441483614917747454631621074299e-6,4.0902509842787550966121461632149048387724918738808174626434143878e-21
relative error = 3.5520727712e-33

x=17, n=6, |dx| = 0.5
i,p_i,q_i
0,3.3940971145301215665872644554496394479485841185829077957129998289e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.2380746837025177069185664254390273780468564239669103495419332035e1,3.0574405601208571437294909154982392168777067829894926820076569520e-1
2,1.8781558054092529581666189023783869302047479826596209286437976068e0,3.7294350471040494504250828354044262120651502907614844053585645323e-2
3,1.5166778070107334467071663578878363212170083251364566574786858477e-1,2.2686394561891989604972250991717584119285321272311913689565223712e-3
4,6.8763900313766950668549828760129835865776671180832609692211328830e-3,6.8821884352762712656924876732756581773303304052537417808413575655e-5
5,1.6596403457942638958070798282644464954316931502197500081178657024e-4,8.3294899629164065800182225289358425033807896454923195170911245012e-7
6,1.6658979925835804507213963199702600090760593829332286626976630136e-6,1.2869005319734357374621941648269490729715816483249898586439202465e-21
relative error = 6.9126985656e-34

x=18, n=6, |dx| = 0.5
i,p_i,q_i
0,3.5944271638291198612729324575205465247671718707931402159731656385e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.2336687162618587389676607090328878400910709229841528754249720220e1,2.8748869626258326183757588954476177653338615603269962890079073584e-1
2,1.7612740654618450359532509402954831050562440697848219359121623060e0,3.2983718700444549282412126268219660701658465377058359886032906455e-2
3,1.3388395547121913730647388240948371578323287961268995874961222531e-1,1.8877600295029328300414410578167672088851229288179497072141220472e-3
4,5.7151917349388332414503309822383614241205705475340258204157760512e-3,5.3896827163869658609299256553089980169406783819870799327714350470e-5
5,1.2990132512556226839987883124605086661434299725957878427518567594e-4,6.1410196660635031195022053302003660650131462686921822523379378038e-7
6,1.2282039332128081812551528950519855157321240291948487290451827419e-6,4.3584914207980696923891260259252342436281165741005073366831804394e-22
relative error = 1.4964286703e-34

x=19, n=6, |dx| = 0.5
i,p_i,q_i
0,3.7947221607065234021918586849365970363724226602576187800726950257e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.2300000533719784980231369515511721062755684010322528143823279584e1,2.7135602357360098686765509923145067464063368880815864115123062772e-1
2,1.6587101393648631969598054468616028997776772234389748018447165919e0,2.9393149385981588193024828426544442855139185759531119682425809636e-2
